Name,Cost,Stops,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Duration,Notes
Matagalpa - Jinotega,12,"Matagalpa Nicaragua, Jinotega Nicaragua","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00","05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:45,19:00",242,
Matagalpa - Managua,30,"Matagalpa Nicaragua, Managua Nicaragua","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05","03:35,04:05,04:35,05:05,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,18:05",187,"Express: 05:20, 06:20, 07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20"
Matagalpa - Leon,10,"Matagalpa Nicaragua, Leon Nicaragua","06:00,15:00,16:00","06:00,15:00,16:00","06:00,15:00,16:00","06:00,15:00,16:00","06:00,15:00,16:00","06:00,15:00,16:00","06:00,15:00,16:00",47,Express
Matagalpa - Masaya,20,"Matagalpa Nicaragua, Masaya Nicaragua","14:00,15:30","14:00,15:30","14:00,15:30","14:00,15:30","14:00,15:30","14:00,15:30","14:00,15:30",186,
Matagalpa - Chinandega,11,"Matagalpa Nicaragua, Chinandega Nicaragua",14:00,14:00,14:00,14:00,14:00,14:00,14:00,189,
Matagalpa - Terrebona,11,"Matagalpa Nicaragua, Terrebona Nicaragua","11:50,12:30","11:50,12:30","11:50,12:30","11:50,12:30","11:50,12:30","11:50,12:30","11:50,12:30",56,
Matagalpa - Sebaco,28,"Matagalpa Nicaragua, Sebaco Nicaragua",19:30,19:30,19:30,19:30,19:30,19:30,19:30,139,
Jinotega - El Naranjo,29,"Jinotega Nicaragua, El Naranjo Nicaragua","05:45,12:45","05:45,12:45","05:45,12:45","05:45,12:45","05:45,12:45","05:45,12:45","05:45,12:45",288,
Leon - Matagalpa,28,"Leon Nicaragua, Matagalpa Nicaragua",14:45,14:45,14:45,14:45,14:45,14:45,14:45,108,
Dario - Chinandega,22,"Dario Nicaragua, Chinandega Nicaragua",6:30,6:30,6:30,6:30,6:30,6:30,6:30,173,
Chinandega - Dario,13,"Chinandega Nicaragua, Dario Nicaragua",14:15/15:00,14:15/15:00,14:15/15:00,14:15/15:00,14:15/15:00,14:15/15:00,14:15/15:00,188,
Sebaco - Dario,14,"Sebaco Nicaragua, Dario Nicaragua","10:25,17:30","10:25,17:30","10:25,17:30","10:25,17:30","10:25,17:30","10:25,17:30","10:25,17:30",83,
Sebaco - Molino Sur,24,"Sebaco Nicaragua, Molino Sur Nicaragua",11:00,11:00,11:00,11:00,11:00,11:00,11:00,77,
Dario - El Cacao,21,"Dario Nicaragua, El Cacao Nicaragua",11:25,11:25,11:25,11:25,11:25,11:25,11:25,119,
Dario - Maunica,18,"Dario Nicaragua, Maunica Nicaragua",12:55,12:55,12:55,12:55,12:55,12:55,12:55,268,
Masaya - Rio Blanco/Boaco,26,"Masaya Nicaragua, Boaco Nicaragua, Rio Blanco Nicaragua",5:30,5:30,5:30,5:30,5:30,5:30,5:30,144,
Masaya - Esteli,16,"Masaya Nicaragua, Esteli Nicaragua","05:30,06:00","05:30,06:00","05:30,06:00","05:30,06:00","05:30,06:00","05:30,06:00","05:30,06:00",227,
Masaya - Chinandega,26,"Masaya Nicaragua, Chinandega Nicaragua",5:20,5:20,5:20,5:20,5:20,5:20,5:20,253,
Matagalpa - Rio Blanco,11,"Matagalpa Nicaragua, Rio Blanco Nicaragua","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00","04:00,05:00,06:00,06:30,07:15,10:15,11:00,11:45,13:00,14:00,15:00,16:00",254,
Matagalpa - Esquipulas,30,"Matagalpa Nicaragua, Esquipulas Nicaragua","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30","05:40,07:00,08:00,09:00,12:00,13:30,15:00,16:30,17:30",176,
Matagalpa - San Dionisio,17,"Matagalpa Nicaragua, San Dionisio Nicaragua",10:30,10:30,10:30,10:30,10:30,10:30,10:30,294,
Matagalpa - Los Limones,13,"Matagalpa Nicaragua, Los Limones Nicaragua",11:15,11:15,11:15,11:15,11:15,11:15,11:15,257,
Matagalpa - Samulali,17,"Matagalpa Nicaragua, Samulali Nicaragua",12:00,12:00,12:00,12:00,12:00,12:00,12:00,151,
Matagalpa - Guadalupe,14,"Matagalpa Nicaragua, Guadalupe Nicaragua",12:00,12:00,12:00,12:00,12:00,12:00,12:00,127,
Matagalpa - Muy Muy,14,"Matagalpa Nicaragua, Muy Muy Nicaragua",12;30,12;30,12;30,12;30,12;30,12;30,12;30,279,
