Name,Cost,Stops,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Duration,Notes
Matagalpa - San Ramon,13,"Matagalpa Nicaragua, San Ramon Nicaragua","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00","07:15,07:45,08:00,08:30,08:45,09:15,09:30,10:00,10:15,11:00,11:30,11:45,12:15,13:00,13:15,13:45,14:00,14:30,14:45,15:15,15:30,16:00,16:15,16:45,17:00,17:30,17:45,18:15,18:30,19:00",259,
Matagalpa - El Roblar ,10,"Matagalpa Nicaragua, El Roblar Nicaragua","06:20,10:00,11:00,12:15,13:15,15:15,16:30","06:20,10:00,11:00,12:15,13:15,15:15,16:30","06:20,10:00,11:00,12:15,13:15,15:15,16:30","06:20,10:00,11:00,12:15,13:15,15:15,16:30","06:20,10:00,11:00,12:15,13:15,15:15,16:30","06:20,10:00,11:00,12:15,13:15,15:15,16:30","06:20,10:00,11:00,12:15,13:15,15:15,16:30",134,
El Roblar - Matagalpa,14,"El Roblar Nicaragua, Matagalpa Nicaragua","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00","04:45,05:30,06:20,06:30,07:30,08:20,09:20:14:00",121,
Terrebona - Matagalpa,24,"Terrebona Nicaragua, Matagalpa Nicaragua","04:00,05:30,05:40,06:00,06:30,09:00,15:00","04:00,05:30,05:40,06:00,06:30,09:00,15:00","04:00,05:30,05:40,06:00,06:30,09:00,15:00","04:00,05:30,05:40,06:00,06:30,09:00,15:00","04:00,05:30,05:40,06:00,06:30,09:00,15:00","04:00,05:30,05:40,06:00,06:30,09:00,15:00","04:00,05:30,05:40,06:00,06:30,09:00,15:00",179,
Dario - Terrebona,28,"Dario Nicaragua, Terrebona Nicaragua","11:00,12:30,14:00,15:00,16:10,18:20","11:00,12:30,14:00,15:00,16:10,18:20","11:00,12:30,14:00,15:00,16:10,18:20","11:00,12:30,14:00,15:00,16:10,18:20","11:00,12:30,14:00,15:00,16:10,18:20","11:00,12:30,14:00,15:00,16:10,18:20","11:00,12:30,14:00,15:00,16:10,18:20",64,
Terrabona - Dario,29,"Terrabona Nicaragua, Dario Nicaragua",15:30,15:30,15:30,15:30,15:30,15:30,15:30,283,
Esquipulas - Muy Muy,30,"Esquipulas Nicaragua, Muy Muy Nicaragua","06:00,09:00,12:30,16:00","06:00,09:00,12:30,16:00","06:00,09:00,12:30,16:00","06:00,09:00,12:30,16:00","06:00,09:00,12:30,16:00","06:00,09:00,12:30,16:00","06:00,09:00,12:30,16:00",99,
Esquipulas - Boaco,15,"Esquipulas Nicaragua, Boaco Nicaragua",5:00,5:00,5:00,5:00,5:00,5:00,5:00,155,
Esquipulas - Sta Teresa,23,"Esquipulas Nicaragua, Sta Teresa Nicaragua",13:30,13:30,13:30,13:30,13:30,13:30,13:30,295,
Esquipulas - Tuestepe,18,"Esquipulas Nicaragua, Tuestepe Nicaragua","08:15,14:30","08:15,14:30","08:15,14:30","08:15,14:30","08:15,14:30","08:15,14:30","08:15,14:30",252,
Esquipulas - El Porton,26,"Esquipulas Nicaragua, El Porton Nicaragua",13:00,13:00,13:00,13:00,13:00,13:00,13:00,129,
Esquipulas - Kumaica,18,"Esquipulas Nicaragua, Kumaica Nicaragua","12:15,13:30","12:15,13:30","12:15,13:30","12:15,13:30","12:15,13:30","12:15,13:30","12:15,13:30",281,
Esquipulas - Matagalpa,24,"Esquipulas Nicaragua, Matagalpa Nicaragua","07:15,08:30,09:30,11:00,13:00,14:30","05:00,06:00,07:15,08:30,09:30,11:00,13:00,14:30","05:00,06:00,07:15,08:30,09:30,11:00,13:00,14:30","05:00,06:00,07:15,08:30,09:30,11:00,13:00,14:30","05:00,06:00,07:15,08:30,09:30,11:00,13:00,14:30","05:00,06:00,07:15,08:30,09:30,11:00,13:00,14:30","05:00,06:00,07:15,08:30,09:30,11:00,13:00,14:30",150,5 and 6 not on Sundays
Esquipulas - Managua,15,"Esquipulas Nicaragua, Managua Nicaragua","06:00,11:30,13:00,15:00","05:00,06:00,11:30,13:00,15:00","05:00,06:00,11:30,13:00,15:00","05:00,06:00,11:30,13:00,15:00","05:00,06:00,11:30,13:00,15:00","05:00,06:00,11:30,13:00,15:00","05:00,06:00,11:30,13:00,15:00",178,5 not on Sundays
San Dionisio - Managua,22,"San Dionisio Nicaragua, Managua Nicaragua",5:00,5:00,5:00,5:00,5:00,5:00,5:00,40,
Managua - San Dionisio,22,"Managua Nicaragua, San Dionisio Nicaragua",14:00,14:00,14:00,14:00,14:00,14:00,14:00,286,
Rio Blanco - Matagalpa,28,"Rio Blanco Nicaragua, Matagalpa Nicaragua","15:00,16:00,17:00","15:00,16:00,17:00","15:00,16:00,17:00","15:00,16:00,17:00","15:00,16:00,17:00","15:00,16:00,17:00","15:00,16:00,17:00",221,
Matiguas - Matagalpa,28,"Matiguas Nicaragua, Matagalpa Nicaragua","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15","04:30,05:30,06:30,09:00,10:20,11:15,13:00,14:05,15:30,16:15",258,
Matiguas - Masaya,20,"Matiguas Nicaragua, Masaya Nicaragua",15:50,15:50,15:50,15:50,15:50,15:50,15:50,89,
